,Unnamed: 0,date,song_ranking,song_name,song_artist,peakPos,lastPos,weeks,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalnes,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,artist_id,artist_genres,artist_followers,artist_popularity
22047,47,2018-05-01,48,Chun-Li,Nicki Minaj,10,10,3,0.6859999999999999,0.73,6.0,-5.077,0.0,0.374,0.278,4.7600000000000005e-05,0.106,0.474,128.94299999999998,audio_features,1e4rwBPVI32vZtTJu7mJ4J,spotify:track:1e4rwBPVI32vZtTJu7mJ4J,https://api.spotify.com/v1/tracks/1e4rwBPVI32vZtTJu7mJ4J,https://api.spotify.com/v1/audio-analysis/1e4rwBPVI32vZtTJu7mJ4J,191600.0,5.0,,,,
22048,48,2018-05-01,49,Let You Down,NF,12,37,28,0.662,0.7140000000000001,5.0,-5.68,0.0,0.121,0.312,0.0,0.179,0.46399999999999997,147.997,audio_features,52okn5MNA47tk87PeZJLEL,spotify:track:52okn5MNA47tk87PeZJLEL,https://api.spotify.com/v1/tracks/52okn5MNA47tk87PeZJLEL,https://api.spotify.com/v1/audio-analysis/52okn5MNA47tk87PeZJLEL,212120.0,4.0,,,,
22049,49,2018-05-01,50,Feel It Still,Portugal. The Man,4,39,45,0.8009999999999999,0.795,1.0,-5.115,0.0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,audio_features,6QgjcU0zLnzq5OrUoSZ3OK,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,163253.0,4.0,,,,
22050,50,2018-05-01,51,Drip,Cardi B Featuring Migos,21,33,3,0.968,0.589,11.0,-7.808,1.0,0.255,0.0511,0.0,0.0731,0.268,129.993,audio_features,2qcG0nZ6S3zZV0UrkY5nFo,spotify:track:2qcG0nZ6S3zZV0UrkY5nFo,https://api.spotify.com/v1/tracks/2qcG0nZ6S3zZV0UrkY5nFo,https://api.spotify.com/v1/audio-analysis/2qcG0nZ6S3zZV0UrkY5nFo,262308.0,4.0,,,,
22051,51,2018-05-01,52,Delicate,Taylor Swift,46,51,7,0.75,0.40399999999999997,9.0,-10.177999999999999,0.0,0.0682,0.21600000000000003,0.000357,0.0911,0.0499,95.045,audio_features,6NFyWDv5CjfwuzoCkw47Xf,spotify:track:6NFyWDv5CjfwuzoCkw47Xf,https://api.spotify.com/v1/tracks/6NFyWDv5CjfwuzoCkw47Xf,https://api.spotify.com/v1/audio-analysis/6NFyWDv5CjfwuzoCkw47Xf,232253.0,4.0,,,,
22052,52,2018-05-01,53,Intro,J. Cole,53,0,1,0.679,0.648,2.0,-5.892,1.0,0.445,0.145,0.0,0.182,0.635,94.37799999999999,audio_features,7EulRO07ZgchxqKUHb8Pvc,spotify:track:7EulRO07ZgchxqKUHb8Pvc,https://api.spotify.com/v1/tracks/7EulRO07ZgchxqKUHb8Pvc,https://api.spotify.com/v1/audio-analysis/7EulRO07ZgchxqKUHb8Pvc,190177.0,4.0,,,,
22053,53,2018-05-01,54,King's Dead,"Jay Rock, Kendrick Lamar, Future & James Blake",21,49,15,0.645,0.705,1.0,-5.008,1.0,0.299,0.000813,0.0,0.128,0.376,137.13299999999998,audio_features,51rXHuKN8Loc4sUlKPODgH,spotify:track:51rXHuKN8Loc4sUlKPODgH,https://api.spotify.com/v1/tracks/51rXHuKN8Loc4sUlKPODgH,https://api.spotify.com/v1/audio-analysis/51rXHuKN8Loc4sUlKPODgH,229670.0,4.0,,,,
22054,54,2018-05-01,55,Boo'd Up,Ella Mai,55,62,4,,,,,,,,,,,,,,,,,,,,,,
22055,55,2018-05-01,56,X,Nicky Jam x J Balvin,47,55,8,0.594,0.7490000000000001,9.0,-5.297999999999999,0.0,0.055999999999999994,0.0338,0.00106,0.3,0.6940000000000001,179.968,audio_features,5YUyW9opqNsMSEzzecZih1,spotify:track:5YUyW9opqNsMSEzzecZih1,https://api.spotify.com/v1/tracks/5YUyW9opqNsMSEzzecZih1,https://api.spotify.com/v1/audio-analysis/5YUyW9opqNsMSEzzecZih1,172854.0,4.0,,,,
22056,56,2018-05-01,57,OTW,"Khalid, Ty Dolla $ign & 6LACK",57,0,1,0.652,0.6779999999999999,2.0,-6.183,1.0,0.0541,0.183,3.26e-05,0.106,0.28,72.98899999999999,audio_features,6Hgh47WXVKtXN5zGOu0hjI,spotify:track:6Hgh47WXVKtXN5zGOu0hjI,https://api.spotify.com/v1/tracks/6Hgh47WXVKtXN5zGOu0hjI,https://api.spotify.com/v1/audio-analysis/6Hgh47WXVKtXN5zGOu0hjI,263014.0,4.0,,,,
